chapter_topic,page_topic,prompt
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Use sum() to total up the values in my_vector
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Here are two ways of creating a numeric vector with the numbers 1 to 10
my_num_1 <- c(1,2,3,4,5,6,7,8,9,10)
my_num_2 <- 1:10

# Write code to print out both of these numeric vectors
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"many_hellos <- c(""hi"", ""hello"", ""hola"", ""bonjour"", ""ni hao"", ""merhaba"")

# Write code to print out the 5th way of saying hello in this vector
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# See what happens when you submit this code:
many_hellos[1]== ""hi""
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Write some code that will answer this question: Is the first element in the vector many_hellos ""hi""?
# And store it in an R object called first_is_hi
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Read this code and predict what value will come out of the R console. Then run the code and see if you were right.

A <- 1
B <- 5

compare <- A > B

compare
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Here's the code to create the my_numbers vector:
my_numbers <- c(1:10)

# And here's the code to check whether each element of the vector my_numbers is greater than or equal to 5, storing the result in a new vector called my_booleans.
my_booleans <- my_numbers >= 5

# This code prints out both vectors
my_numbers
my_booleans
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# What do you expect from this code? Run the code to see what happens. Then, fix the bug and run again.

A <- 5
B <- 5
compare <- A = B
compare
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# This code will assign the number 20 to the R object my_favorite_number
my_favorite_number <- 20

# This code prints out my_favorite_number. Notice that you don't need to use the print() function to print the contents of an R object; you can just type the name of the object
my_favorite_number

# now revise the code to use your actual favorite number.
"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"1. What will happen in R if you run:&nbsp;<code>print(""StatsCourse"")</code>?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"2. If you want to use R to get the sum of 10 and 20, what code would you write? Feel free to test your ideas in the sandbox above. (Check all that apply.)"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"3. If you want to write a note to yourself about your R code, but you want R to ignore it, how would you do so?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"4. Let's say you want to print out the word ""University"" using R. You tried <code>print(University)</code> but it returned an error message. What would be the correct command to use?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"5. Let's say you want to create an R object, so you can use it again later. The object you want to create represents the Oxford Dictionaries Word of the Year for 2017, which happens to have been ""Youthquake."" How would you create that object?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,6. Let's say you wanted to create a vector called <code>SAT</code> from a list of SAT scores. How would you do that?
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"7. Think back to the vector called&nbsp;<code>SAT</code>. Let's imagine that the student who earned the fourth score in this vector would like to know their score. You try <code>sat[4]</code>, but get an error. What did you do wrong?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,8. Now imagine that the same student simply wanted to know whether their original score was a 1470. How would you get their answer?
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"9. The same student has a tendency to come back repeatedly to ask the same question. With that in mind, you decide to save the answer above to an R object so you can readily call it up later. You&nbsp;decide to call the R object&nbsp;<code>concerned_student</code>. Which line of code would create that object?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"10. The College Board discovered a mistake! All of their tests administered in 2017 were scored 50 points lower than they should have been. Assuming they have a vector called&nbsp;<code>SAT_2017</code>&nbsp;that includes all test scores, how would they add 50 points to each score in the vector?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"<p>11. What will the following code produce?</p>

<pre><code>SAT &lt;- c(1300,1120,1050,1470,1350)
first_score &lt;- SAT[1]
second_score &lt;- SAT[2]
first_higher &lt;- first_score &gt; second_score
first_higher
</code></pre>
"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"12. Broadly speaking, what do we study when we study statistics?"
 Welcome to Statistics: A Modeling Approach,Chapter 1 Review Questions,"13. Use the window above to find the product of 12,345 and 34,567. What's the result? (Hint: Use ""prod"" to find the product in the same way that you'd use ""sum"" to find the sum.)"
 The Logic of Inference,The Problem of Inference,Which of these statements is true?
 The Logic of Inference,The Problem of Inference,Which of the following is true about parameter estimates?
 The Logic of Inference,The Problem of Inference,"If it is easy for a DGP with a $$\beta_1 = 0$$ to generate samples that are similar to our real sample, we should conclude:"
 The Logic of Inference,Constructing a Sampling Distribution,"b1(shuffle(Tip) ~ Condition, data = TipExperiment)
"
 The Logic of Inference,Constructing a Sampling Distribution,What are the cases involved in this study?
 The Logic of Inference,Constructing a Sampling Distribution,This study was an experiment. What does that mean?
 The Logic of Inference,Constructing a Sampling Distribution,"If the true DGP is that drawing smiley faces has no effect, what would we expect to see in the samples from that DGP?"
 The Logic of Inference,Constructing a Sampling Distribution,"If the true DGP is that drawing smiley faces actually causes customers to tip *less*, what would we expect to see in the samples from that DGP?"
 The Logic of Inference,Constructing a Sampling Distribution,Each of these panels represents one shuffle of the data and the model that best fits the shuffled data. Where are the $$b_1$$s depicted for each randomized sample?
 The Logic of Inference,Constructing a Sampling Distribution,Because these data and $$b_1$$s were generated from the empty model:
 The Logic of Inference,Exploring the Sampling Distribution of b1,"sdob1 <- do(1000) * b1(shuffle(Tip) ~ Condition, data = TipExperiment)
"
 The Logic of Inference,Exploring the Sampling Distribution of b1,"# we created the sampling distribution of b1s for you
sdob1 <- do(1000) * b1(shuffle(Tip) ~ Condition, data = TipExperiment)

# visualize that distribution in a histogram
"
 The Logic of Inference,Exploring the Sampling Distribution of b1,What is the name of this data frame?
 The Logic of Inference,Exploring the Sampling Distribution of b1,What is the name of the (only) variable within this data frame?
 The Logic of Inference,Exploring the Sampling Distribution of b1,"<p>This is an example of code we have used to make a histogram: <code>gf_histogram(~ Thumb, data = Fingers)</code></p>

<p>What is the schema (or pattern) for this code?</p>
"
 The Logic of Inference,Exploring the Sampling Distribution of b1,"If you added up the heights of all the bars, what would the total be?"
 The Logic of Inference,Exploring the Sampling Distribution of b1,"<p align=""center"" style=""text-align: center;"">&nbsp;</p>


<img alt=""A histogram of a bunch of shuffled b1s, normally distributed and centered at zero, with an x-axis ranging from negative ten to ten, and a y-axis that ranges from zero to about 90."" height=""3500"" src=""https://i.postimg.cc/kJBqqnbr/image.png"" width=""80%"">
<p>In the histogram above, what does the <strong>count</strong>&nbsp;on the y-axis (e.g., 50) refer to?</p>"
 The Logic of Inference,Exploring the Sampling Distribution of b1,"Using this visualization as a probability distribution, estimate the probability of generating a negative $$b_1$$ from a random DGP."
 The Logic of Inference,Exploring the Sampling Distribution of b1,"If the true $$\beta_1$$ in the DGP is 0, are we more likely to get a sample where the smiley face group tips more or the control group tips more?"
 The Logic of Inference,Exploring the Sampling Distribution of b1,"<p>&nbsp;</p>

<p align=""center"" style=""text-align: center;"">&nbsp;</p>


<img alt=""A histogram of a bunch of shuffled b1s, normally distributed and centered at zero, with an x-axis ranging from negative ten to ten, and a y-axis that ranges from zero to about 100."" height=""3500"" src=""https://i.postimg.cc/bqkNjQVh/image.png"" width=""80%"">
<p>The histogram above shows a sampling distribution of $$b_1$$s for another 1000 randomly generated shuffles of the tipping study data. Notice that even though it is not exactly like the one we generated above, the shape, center, and spread are pretty similar.</p>

<p>Using this visualization as a probability distribution, estimate the probability of randomly generating a positive $$b_1$$ from a DGP in which $$\beta_1=0$$.</p>"
 The Logic of Inference,Exploring the Sampling Distribution of b1,"<p align=""center"" style=""text-align: center;""><img alt=""A histogram of a bunch of shuffled b1s, normally distributed and centered at zero, with an x-axis ranging from negative ten to ten, and a y-axis that ranges from zero to about 100."" height=""3500"" src=""https://i.postimg.cc/bqkNjQVh/image.png"" width=""80%"" /></p>

<p>The sampling distribution pictured above shows the estimated $$b_1$$s based on 1000 random shuffles of the tipping study data (n=22 tables per group). &nbsp;Which of these potential values of $$b_1$$ are <em>unlikely</em>&nbsp;to have been randomly generated from a DGP in which $$\beta_1=0$$? (Check all that apply.)</p>
"
 The Logic of Inference,Exploring the Sampling Distribution of b1,Which picture depicts the .05 most <strong>unlikely</strong> values of $$b_1$$ in the sampling distribution constructed from 1000 random shuffles of the tipping experiment data?
 The Logic of Inference,Exploring the Sampling Distribution of b1,"<p align=""center"" style=""text-align: center;""><img alt=""A histogram of b1 where the upper and lower tails have been filled in red, and there is an arrow pointing to a b1 of negative 9.5 on the x-axis. This point falls in the lower tail within the red area."" height=""3500"" src=""https://i.postimg.cc/6K1t7jv0/image.png"" width=""80%"" /></p>

<p>The red bar underneath the arrow represents the $$b_1$$ for a single random sample from the empty model. How many individual data points were used to calculate this $$b_1$$?</p>
"
 The Logic of Inference,Exploring the Sampling Distribution of b1,Is the actual sample $$b_1$$ from the tipping study shown on this histogram?
 The Logic of Inference,Exploring the Sampling Distribution of b1,"If an event has a probability of .051 and we have set our alpha at .05, it would be most accurate to say that the event is:"
 The Logic of Inference,The p-Value,"# this saves the sample b1 and creates a sampling distribution using shuffle
sample_b1 <- b1(Tip ~ Condition, data = TipExperiment)
sdob1 <- do(1000) * b1(shuffle(Tip) ~ Condition, data = TipExperiment)

# change the code below to calculate the *proportion* of b1s
# as extreme (positive or negative) as the sample b1
tally(sdob1$b1 > sample_b1 | sdob1$b1 < -sample_b1)
"
 The Logic of Inference,The p-Value,"<p align=""center"" style=""text-align: center;"">&nbsp;</p>


<img alt=""A histogram of b1 where the lower tail is filled in red and ranges from about negative 6 and below, and the upper tail is filled in red and ranges from about 6 and above."" height=""3500"" src=""https://i.postimg.cc/7wZhvG0s/image.png"" width=""80%"">
<p>Just by eyeballing it, where do you think the sample $$b_1$$ from the tipping experiment would fall in this sampling distribution that assumes the empty model is true? Would it fall in the middle .95 or in the tails?</p>"
 The Logic of Inference,The p-Value,What does it mean that the sample $$b_1$$ is in between the two black dotted lines?
 The Logic of Inference,The p-Value,"<p align=""center"" style=""text-align: center;""><img alt=""A histogram of b1 where the upper and lower tails have been filled in with red. The sample b1 is marked with a dot along the x-axis right below the upper tail, but not in the red."" height=""3500"" src=""https://i.postimg.cc/FFsLnPhG/image.png"" width=""80%"" /></p>

<p>Above is the histogram depicting the sampling distribution we generated with R. We have plotted it so that the top and bottom .025 of $$b_1$$s (i.e., the most extreme .05 of $$b_1$$s) are colored red, and the middle .95 colored blue.</p>

<p>Given that there are 1000 randomly generated $$b_1$$s in this sampling distribution, how many of them are colored red?</p>
"
 The Logic of Inference,The p-Value,The black dot represents the actual $$b_1$$ observed in the tipping experiment. What is the probability of getting a randomly simulated $$b_1$$ from the empty model that is greater than the observed $$b_1$$?
 The Logic of Inference,The p-Value,What is the probability of getting a $$b_1$$ in the red shaded part of the *upper tail* if the empty model is true?
 The Logic of Inference,The p-Value,What is the two tailed probability of getting a randomly simulated $$b_1$$ from the empty model that is more extreme than the sample $$b_1$$?
 The Logic of Inference,The p-Value,"If we had actually done the study and got a sample $$b_1$$ of 9, how would that affect the size of our alpha (the red region)?"
 The Logic of Inference,The p-Value,"If we had actually done the study and got a sample $$b_1$$ of 9, how would that affect the size of our p-value (the purple region)?"
 The Logic of Inference,The p-Value,"What do these 80 $$b_1$$s mean for the probability of our sample $$b_1$$ or one more extreme being generated by a DGP with no effect of smiley face (i.e., in which $$\beta_1=0$$?&nbsp;"
 The Logic of Inference,The p-Value,What do these 80 $$b_1$$s represent? (Check all that apply.)
 The Logic of Inference,A Mathematical Model of the Sampling Distribution of b1,"# This code finds the best-fitting Condition model
            Condition_model <- lm(Tip ~ Condition, data = TipExperiment)

            # Generate the ANOVA table for this model
"
 The Logic of Inference,A Mathematical Model of the Sampling Distribution of b1,"<table class=""table--outlined"">
	<thead>
		<tr>
			<th width=""50%""><img alt=""The t-distribution, depicted as a smooth normal curve, with the middle 95 percent shaded in purple and the upper and lower tails shaded in lime green. There are no x or y-axes or values depicted."" height=""1060"" src=""https://i.postimg.cc/6thvwWms/image.png"" width=""100%"" /></th>
			<th width=""50%""><img alt=""A histogram of b1 with the upper and lower tails filled in with purple and the middle 95 percent of samples filled in with blue. It is normally distributed and centered at zero. The x-axis ranges from negative ten to ten, and the y-axis ranges from zero to about 70."" height=""3500"" src=""https://i.postimg.cc/z5zH5XgQ/image.png"" width=""100%"" /></th>
		</tr>
	</thead>
</table>

<p>Here is a depiction of the t-distribution (left) that shows the p-value as two lime green-colored tails, and the histogram of shuffled $$b_1$$s (right) that shows the same thing as purple tails. The x-axis on both are values of $$b_1$$ (in dollars).</p>

<p>What is similar about these two distributions? (Check all that apply.)</p>
"
 The Logic of Inference,A Mathematical Model of the Sampling Distribution of b1,What is different about these two distributions?&nbsp;
 The Logic of Inference,Things That Affect p-Value,"# these lines run favstats for Tip for both data frames
            favstats(~ Tip, data = TipExperiment)
            favstats(~ Tip, data = TipExp2)

            # now fit the Condition model of Tip for both data frames
            lm()
            lm()
"
 The Logic of Inference,Things That Affect p-Value,"# these 2 lines will create sampling distributions of b1 from 44 and 88 tables respectively
sdob44 <- do(1000) * b1(shuffle(Tip) ~ Condition, data = TipExperiment)
sdob88 <- do(1000) * b1(shuffle(Tip) ~ Condition, data = TipExp2)

# This calculates the standard error of the first sampling distribution (sdob44)
sd(~ b1, data = sdob44)

# Use sd() to calculate the standard error for sdob88
"
 The Logic of Inference,Things That Affect p-Value,"# Produces ANOVA table for model fit from original data (n = 44)
supernova(lm(Tip ~ Condition, data = TipExperiment))

# Write code for the ANOVA table for the model fit from TipExp2 (n = 88)
"
 The Logic of Inference,Things That Affect p-Value,"<p align=""center"" style=""text-align: center;""><img alt=""A histogram of b1 with the middle 95 percent of samples filled in blue and the upper and lower tails filled in red. The lower tail ranges from about negative 6 and below, and the upper tail ranges from about 6 and above."" height=""3500"" src=""https://i.postimg.cc/8NQ4tGvz/image.png"" width=""80%"" /></p>

<p>In the figure above we have reproduced the sampling distribution of $$b_1$$ assuming the empty model of the DGP is true. The red tails together show the .05 most extreme $$b_1$$s, with each tail including .025, or half, of the extreme values.</p>

<p>If the sample $$b_1$$ were $10 (instead of $6), would it have fallen into the likely or unlikely zone of this sampling distribution?</p>
"
 The Logic of Inference,Things That Affect p-Value,How would a $$b_1$$ of $10 have affected our thinking about the empty model?
 The Logic of Inference,Things That Affect p-Value,What would the p-value have been?
 The Logic of Inference,Things That Affect p-Value,Would the p-value for the observed $$b_1$$ of $6.05 be lower using the wider sampling distribution (on the left) or using the narrower one (on the right)?
 The Logic of Inference,Things That Affect p-Value,Which of the following observations are true about the two sampling distributions depicted above? (Check all that apply.)
 The Logic of Inference,Things That Affect p-Value,Which distribution has a larger standard error?
 The Logic of Inference,Things That Affect p-Value,What is similar about the two sampling distributions? (Check all that apply.)
 The Logic of Inference,Things That Affect p-Value,Which sampling distribution would result in a smaller p-value for the observed $$b_1$$ of $6?
 The Logic of Inference,Things That Affect p-Value,"<table class=""table--outlined"">
	<thead>
		<tr>
			<th width=""50%""><img alt=""A histogram of b1 where the sample size is 44 tables. The distribution is somewhat flat and wide. The upper and lower tails are filled in red, and the lower tail ranges from about negative 7 and below, and the upper tail ranges from about 7 and above. The sample b1 of $6.05 is marked on the x-axis and falls right below the upper tail, but does not fall in the red area, it is still in the middle 95 percent."" height=""3500"" src=""https://i.postimg.cc/3KPM1RHx/image.png"" width=""100%"" /></th>
			<th width=""50%""><img alt=""A histogram of b1 where the sample size is 88 tables. The distribution is somewhat tall and narrow. The upper and lower tails are filled in red, and the lower tail ranges from about negative 5 and below, and the upper tail ranges from about 5 and above. The sample b1 of $6.05 is marked on the x-axis and falls in the upper tail, in the red area."" height=""3500"" src=""https://i.postimg.cc/kMm0rpGr/image.png"" width=""100%"" /></th>
		</tr>
	</thead>
</table>
Consider the two sampling distributions created from the empty model of the DGP for the samples of 44 and 88 tables above. Which sampling distribution would lead us to reject the empty model as a plausible model of the DGP that produced our sample?"
 The Logic of Inference,Hypothesis Testing for Regression Models,"# fit a regression model in which Check is used to explain Tip
"
 The Logic of Inference,Hypothesis Testing for Regression Models,"# generate a sampling distribution of 1000 b1s from the shuffled data
sdob1 <- do() * b1()

# histogram of the 1000 b1s
gf_histogram(~ b1, data = sdob1, fill = ~middle(b1, .95), bins = 100, show.legend = FALSE) %>%
  gf_point(x = sample_b1, y = 0, show.legend = FALSE)
"
 The Logic of Inference,Hypothesis Testing for Regression Models,"# here’s the best-fitting Check model
            Check_model <- lm(Tip ~ Check, data = TipExperiment)

            # create the ANOVA table for this model
"
 The Logic of Inference,Hypothesis Testing for Regression Models,"# modify this to shuffle the data
gf_point(Tip ~ Check, data = TipExperiment, color = ""orangered"") %>%
  gf_lm()
"
 The Logic of Inference,Hypothesis Testing for Regression Models,What is the estimate for $$b_1$$?
 The Logic of Inference,Hypothesis Testing for Regression Models,"<p align=""center"" style=""text-align: center;""><img alt=""A histogram of b1 where the upper and lower tails are filled in red. It is centered at zero and normally distributed. A b1 of about .05 is marked as a point along the x-axis and falls in the high end of the upper tail."" height=""3500"" src=""https://i.postimg.cc/rM8pxhJY/image.png"" width=""80%""></p>
What does it mean that our sample $$b_1$$ (.05, the black dot) is way out in the right tail of the sampling distribution? (Check all that apply.)"
 The Logic of Inference,Hypothesis Testing for Regression Models,"Just from looking at this sampling distribution, what do you think the p-value from <code>supernova()</code> might be?"
 The Logic of Inference,Hypothesis Testing for Regression Models,What do you notice about the slopes in the shuffled data (in red) generated from the empty model where&nbsp;\(\beta_1=0\)? (Check all that apply)&nbsp;
 The Logic of Inference,Hypothesis Testing for Regression Models,"If the slope is a perfectly horizontal line (e.g., flat), what would the&nbsp;\(b_1\) be?"
 Model Comparison with F,Moving Beyond b1,"# this saves the best-fitting complex model in Condition_model
            Condition_model <- lm(Tip ~ Condition, data = TipExperiment)

            # generate the ANOVA table for the complex model
"
 Model Comparison with F,Moving Beyond b1,What two numbers would you divide to get PRE? (Check all that apply.)
 Model Comparison with F,Moving Beyond b1,The ANOVA table shows us that the PRE for the Condition_model is .07. &nbsp;What does this mean?&nbsp;
 Model Comparison with F,Moving Beyond b1,How is the F similar to PRE? (Check all that apply.)
 Model Comparison with F,Moving Beyond b1,"If the sample $$b_1=0$$, the PRE:"
 Model Comparison with F,Sampling Distributions of PRE and F,"# modify the code in the window below to generate 10 shuffled PREs
PRE(shuffle(Tip) ~ Condition, data = TipExperiment)
"
 Model Comparison with F,Sampling Distributions of PRE and F,"# modify this to calculate 1,000 PREs based on shuffled data
sdoPRE <- PRE(shuffle(Tip) ~ Condition, data = TipExperiment)

# print the first 6 lines of sdoPRE
"
 Model Comparison with F,Sampling Distributions of PRE and F,"sdoPRE <- do(1000) * PRE(shuffle(Tip) ~ Condition, data = TipExperiment)

# make a histogram of the variable PRE (in the data frame sdoPRE)
"
 Model Comparison with F,Sampling Distributions of PRE and F,"# save 1000 randomly generated F ratios in a data frame called sdoF
sdoF <-

gf_histogram(~ fVal, data = sdoF, fill = ""darkgoldenrod1"")
"
 Model Comparison with F,Sampling Distributions of PRE and F,"# we have created the sdoF for you
            sdoF <- do(1000) * fVal(shuffle(Tip) ~ Condition, data = TipExperiment)

            # calculate the mean of fVal
            favstats(  )
"
 Model Comparison with F,Sampling Distributions of PRE and F,The PRE based on the sample data tells us:
 Model Comparison with F,Sampling Distributions of PRE and F,If the true PRE in the DGP is 0:
 Model Comparison with F,Sampling Distributions of PRE and F,Which of these statements about the sampling distribution of PRE are true? (Check all that apply)
 Model Comparison with F,Sampling Distributions of PRE and F,Which two numbers would you divide to get the F ratio?
 Model Comparison with F,Sampling Distributions of PRE and F,How is the F different from PRE? (Check all that apply.)
 Model Comparison with F,Sampling Distributions of PRE and F,What does this F value (3.30) mean?
 Model Comparison with F,Sampling Distributions of PRE and F,"<p>Here is the code for randomizing the data from <code>TipExperiment</code> 1,000 times and generating the PREs.&nbsp;</p>

<p><code>do(1000) * PRE(shuffle(Tip) ~ Condition, data = TipExperiment)</code></p>

<p>What part would you replace in order to generate a sampling distribution of F?</p>
"
 Model Comparison with F,Sampling Distributions of PRE and F,"Which of the following are ways to say ""we believe there is no effect of smiley face in the DGP""? (Check all that apply)"
 Model Comparison with F,Sampling Distributions of PRE and F,What do you notice about these two sampling distributions? (Check all that apply.)
 Model Comparison with F,The Sampling Distribution of F,"# sample_F and sdoF have already been saved for you
# find the proportion of randomized Fs that are greater than the sample_F
"
 Model Comparison with F,The Sampling Distribution of F,"# sdoF has already been saved for you
# modify this code to fill the lower .95 in a different color
gf_histogram(~fVal, data=sdoF)
"
 Model Comparison with F,The Sampling Distribution of F,"<p class=""text-center"">&nbsp;</p>

<p class=""text-center""><img alt=""A histogram of F values generated from the empty model of Tip. It is skewed to the right. The x-axis ranges from zero to ten, and the y-axis ranges from zero to about 350. Most of the sample Fs are stacked from zero to about 2.5, then there is a small tail from 2.5 to about 6, then there are practically no F values above that."" height=""3500"" src=""https://i.postimg.cc/GL90mdgK/image.png"" width=""80%"" /></p>

<p>Based on this distribution of Fs generated by the empty model (in which there is no effect of smiley face on tips), what values of &nbsp;F would make us doubt that the sample F was generated by the empty model?</p>
"
 Model Comparison with F,The Sampling Distribution of F,"If we set alpha as .05, deciding to rule out the most extreme .05 of Fs as unlikely, which picture would depict these unlikely Fs in the sampling distribution?"
 Model Comparison with F,The Sampling Distribution of F,"<p align=""center"" style=""text-align: center;""><img alt="" A histogram of a sampling distribution of F values where the values in the upper tail above approximately 4 are shaded in red."" height=""3500"" src=""https://i.postimg.cc/xYB4mW1s/image.png"" width=""80%"" /></p>

<p>The plot above shows the sampling distribution of Fs with the .05 most extreme Fs colored red. Based on an alpha of .05, we will call these the “unlikely” Fs. In the tipping study, the researchers observed a sample F of 3.30 for the <code>Condition</code> model. Does the sample F fall among the <strong>unlikely</strong>&nbsp;Fs or the <strong>not unlikely</strong>&nbsp;Fs?</p>
"
 Model Comparison with F,The Sampling Distribution of F,Which of these would be a visual definition of the p-value (the probability of generating a F as extreme as 3.30 or greater from the empty model)?
 Model Comparison with F,The Sampling Distribution of F,"Based on this p-value, what would you conclude about the empty model? (Check all that apply.)"
 Model Comparison with F,The Sampling Distribution of F,"If a p-value is very low (for example, .001), what does that mean? (Check all that are true.)"
 Model Comparison with F,The Sampling Distribution of F,"If our sample F were higher, what would you expect for the p-value?"
 Model Comparison with F,The Sampling Distribution of F,What does the p-value generally represent?
 Model Comparison with F,The F-Distribution: A Mathematical Model of the Sampling Distribution of F,"# we have saved the sample F for you
sample_F <- fVal(Tip ~ Condition, data = TipExperiment)

# fill in the appropriate dfs
xpf(sample_F, df1 = , df2 = )
"
 Model Comparison with F,The F-Distribution: A Mathematical Model of the Sampling Distribution of F,What does the p-value part of the F-distribution (the tail on the right) represent?
 Model Comparison with F,The F-Distribution: A Mathematical Model of the Sampling Distribution of F,What does the whole F-distribution represent? (Check all that apply.)
 Model Comparison with F,Using F to Test a Regression Model,"# calculate the sample F for the Check model
fVal()
"
 Model Comparison with F,Using F to Test a Regression Model,"# create a sampling distribution of 1000 Fs generated from the empty model

# print the first 6 rows
"
 Model Comparison with F,Using F to Test a Regression Model,"# this creates a sampling distribution of 1000 Fs generated from the empty model
sdoF <- do(1000) * fVal(shuffle(Tip) ~ Check, data = TipExperiment)

# make a histogram depicting the sdoF
"
 Model Comparison with F,Using F to Test a Regression Model,"# we’ve saved the value 18.87 for you as sample_F
sample_F <- fVal(Tip ~ Check, data = TipExperiment)

# we have also generated 1000 Fs from the empty model of the DGP
sdoF <- do(1000) * fVal(shuffle(Tip) ~ Check, data = TipExperiment)

# how many fVals are larger than sample_F?
tally()
"
 Model Comparison with F,Using F to Test a Regression Model,"Just by looking at the sampling distribution of F, how many of the 1000 randomized Fs were as large or larger than our sample F of 18.87?&nbsp;"
 Model Comparison with F,Using F to Test a Regression Model,"Given this picture, what would you estimate the p-value to be?"
 Model Comparison with F,Using F to Test a Regression Model,What kind of research design can help us detect a causal relationship between our explanatory and outcome variables?
 Model Comparison with F,Using F to Test a Regression Model,"<p>Consider our favorite example of <code>Thumb</code> variation explained with <code>Sex</code>.&nbsp;Here is the ANOVA table for your consideration.</p>

<pre>
<code> Analysis of Variance Table (Type III SS)
 Model: Thumb ~ Sex

                                SS  df       MS      F    PRE     p
 ----- --------------- | --------- --- -------- ------ ------ -----
 Model (error reduced) |  1334.203   1 1334.203 19.609 0.1123 .0000
 Error (from model)    | 10546.008 155   68.039                    
 ----- --------------- | --------- --- -------- ------ ------ -----
 Total (empty model)   | 11880.211 156   76.155
</code></pre>

<p>What can we conclude from this model comparison?</p>
"
 Model Comparison with F,Using F to Test a Regression Model,"<p>In the Mindset Matters experiment, housekeepers were randomly assigned to the informed or uninformed condition (either told that their jobs fit the surgeon general's recommendation for daily exercise or not).&nbsp;Here is the ANOVA table for your consideration.&nbsp;</p>

<pre>
<code>Analysis of Variance Table
Outcome variable: PoundsLost
Model: lm(formula = PoundsLost ~ Condition, data = MindsetMatters)
 
                              SS df      MS      F    PRE     p
 ----- ----------------- ------- -- ------- ------ ------ -----
 Model (error reduced) |  45.715  1 46.7154 6.6866 0.0839 .0117
 Error (from model)    | 510.011 73  6.9865                    
 ----- ----------------- ------- -- ------- ------ ------ -----
 Total (empty model)   | 556.727 74  7.5233
</code></pre>

<p>What can we conclude from this model comparison?</p>
"
 Model Comparison with F,Type I and Type II Error,Can we ever tell what the true DGP is like?
